timestamp,temperature_c,temperature_f,humidity,soil_moisture,lux,ph,soil_moisture_1,soil_temp,conductivity,nitrogen,phosphorus,potassium,heater,water_pump,nutrients_pump,mister,white_light,LED_light,live_stream
2025-04-27T18:12:20.860435,24.2,75.56,41.0,45.85,39,5.79,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:12:22.179898,24.0,75.2,41.0,45.85,38,5.84,13.3,19.8,550,38,54,109,off,off,off,on,off,0,on
2025-04-27T18:12:23.480797,24.0,75.2,41.0,45.85,38,5.84,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:12:24.805907,24.3,75.74000000000001,41.0,45.94,34,5.86,13.4,19.8,540,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:12:26.072597,24.3,75.74000000000001,41.0,45.94,34,5.86,13.4,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:12:27.348493,24.8,76.64,41.0,45.85,35,5.86,13.3,19.8,551,38,54,109,off,off,off,on,off,0,on
2025-04-27T18:12:28.608568,24.5,76.1,41.0,45.85,35,5.86,13.3,19.8,547,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:12:29.932253,24.5,76.1,41.0,45.45,34,5.86,13.3,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:12:31.209105,24.5,76.1,41.0,45.45,34,5.83,13.4,19.8,548,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:12:32.471292,24.5,76.1,41.0,46.14,34,5.92,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:12:33.782832,24.0,75.2,41.0,46.14,34,5.88,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:12:35.075274,24.0,75.2,41.0,45.75,34,5.88,13.4,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:12:36.319374,24.0,75.2,41.0,45.75,34,5.88,13.3,19.8,550,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:12:37.628480,24.4,75.92,41.0,45.94,33,5.88,13.4,19.8,547,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:12:38.932387,24.7,76.46000000000001,41.0,45.94,33,5.91,13.4,19.8,548,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:12:40.247204,24.1,75.38,41.0,45.85,35,5.91,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:12:41.567357,24.1,75.38,41.0,45.85,35,5.85,13.3,19.8,550,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:12:42.886736,24.1,75.38,41.0,45.75,36,5.82,13.4,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:12:44.201309,24.7,76.46000000000001,41.0,45.75,36,5.84,13.3,19.8,544,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:12:45.490706,24.6,76.28,41.0,45.94,36,5.84,13.3,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:12:46.777926,24.0,75.2,41.0,45.94,36,5.86,13.4,19.8,546,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:12:48.071148,24.0,75.2,41.0,46.04,36,5.86,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:12:49.383549,24.1,75.38,41.0,46.04,36,5.84,13.4,19.8,551,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:12:50.678652,24.1,75.38,41.0,45.94,35,5.84,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:12:51.935235,24.8,76.64,41.0,45.94,35,5.86,13.3,19.8,550,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:12:53.255434,24.4,75.92,41.0,45.06,35,5.86,13.3,19.8,545,38,54,109,off,off,off,on,off,0,on
2025-04-27T18:12:54.561996,24.2,75.56,41.0,45.06,35,5.86,13.3,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:12:55.832434,24.8,76.64,41.0,46.14,35,5.84,13.3,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:12:57.229847,24.8,76.64,41.0,46.14,35,5.84,13.3,19.8,549,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:12:58.514901,24.7,76.46000000000001,41.0,46.24,40,5.86,13.3,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:12:59.810546,24.8,76.64,41.0,46.24,40,5.85,13.4,19.8,542,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:13:01.084783,24.7,76.46000000000001,41.0,46.24,38,5.85,13.3,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:13:02.411172,24.9,76.82,41.0,46.24,38,5.86,13.3,19.8,551,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:13:03.687756,24.2,75.56,41.0,45.45,32,5.86,13.3,19.8,552,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:13:04.997047,24.5,76.1,41.0,45.45,32,5.86,13.3,19.8,548,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:13:06.387922,24.1,75.38,41.0,46.04,32,5.86,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:13:07.678235,24.1,75.38,41.0,46.04,32,5.84,13.3,19.8,544,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:13:08.942836,24.1,75.38,41.0,46.14,31,5.84,13.3,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:13:10.250723,24.1,75.38,41.0,46.14,31,5.84,13.4,19.8,539,38,53,107,off,off,off,on,off,0,on
