received_timestamp,sent_timestamp,latency_ms
22:33:17.117,22:33:14.927,2190
22:33:19.206,22:33:16.919,2287
22:33:20.794,22:33:18.956,1838
22:33:22.730,22:33:20.999,1731
22:33:24.730,22:33:22.965,1765
22:33:27.027,22:33:24.979,2048
22:33:28.722,22:33:26.899,1823
22:33:30.728,22:33:29.153,1575
22:33:32.998,22:33:30.966,2032
22:33:35.130,22:33:32.921,2209
22:33:36.657,22:33:34.948,1709
22:33:38.706,22:33:36.999,1707
22:33:40.864,22:33:38.989,1875
22:33:42.523,22:33:41.064,1459
22:33:44.858,22:33:43.036,1822
22:33:46.668,22:33:45.085,1583
22:33:49.097,22:33:47.097,2000
22:33:52.654,22:33:51.129,1525
22:33:54.631,22:33:52.942,1689
22:33:56.533,22:33:55.150,1383
22:33:58.940,22:33:56.977,1963
22:34:02.860,22:34:00.981,1879
22:34:04.674,22:34:02.971,1703
22:34:06.974,22:34:04.982,1992
22:34:08.724,22:34:06.959,1765
22:34:10.869,22:34:09.013,1856
22:34:12.423,22:34:11.013,1410
22:34:14.784,22:34:12.989,1795
22:34:16.807,22:34:15.021,1786
22:34:18.897,22:34:17.022,1875
22:34:20.742,22:34:19.005,1737
22:34:22.581,22:34:21.010,1571
22:34:24.494,22:34:22.989,1505
22:34:26.619,22:34:24.963,1656
22:34:28.637,22:34:26.987,1650
22:34:30.764,22:34:29.060,1704
22:34:32.482,22:34:31.065,1417
22:34:34.563,22:34:33.076,1487
22:34:36.683,22:34:35.033,1650
22:34:38.647,22:34:37.009,1638
22:34:40.728,22:34:38.986,1742
22:34:42.685,22:34:40.983,1702
22:34:44.644,22:34:42.975,1669
22:34:46.701,22:34:45.009,1692
22:34:48.680,22:34:47.021,1659
22:34:50.991,22:34:48.997,1994
22:34:52.533,22:34:51.043,1490
22:34:54.599,22:34:53.036,1563
22:34:56.519,22:34:55.061,1458
22:34:58.937,22:34:57.083,1854
22:35:02.783,22:35:01.116,1667
22:35:04.371,22:35:03.138,1233
22:35:06.718,22:35:05.114,1604
22:35:08.610,22:35:07.126,1484
22:35:10.667,22:35:09.136,1531
22:35:12.901,22:35:10.944,1957
22:35:14.587,22:35:12.934,1653
22:35:16.774,22:35:15.041,1733
22:35:18.382,22:35:17.018,1364
22:35:20.770,22:35:18.978,1792
22:35:22.854,22:35:21.006,1848
22:35:24.567,22:35:23.046,1521
22:35:26.588,22:35:25.041,1547
22:35:28.667,22:35:27.043,1624
22:35:30.698,22:35:29.012,1686
22:35:32.610,22:35:31.054,1556
22:35:34.837,22:35:33.007,1830
22:35:36.850,22:35:35.028,1822
22:35:38.625,22:35:37.061,1564
22:35:40.832,22:35:39.012,1820
22:35:42.929,22:35:41.045,1884
22:35:44.455,22:35:43.022,1433
22:35:47.033,22:35:44.997,2036
22:35:48.762,22:35:46.998,1764
22:35:50.859,22:35:48.996,1863
22:35:52.506,22:35:51.029,1477
22:35:54.864,22:35:53.041,1823
22:35:58.707,22:35:57.025,1682
22:36:00.709,22:35:59.004,1705
22:36:02.733,22:36:01.037,1696
22:36:04.546,22:36:02.994,1552
22:36:06.715,22:36:04.957,1758
22:36:08.591,22:36:06.941,1650
22:36:10.813,22:36:09.115,1698
22:36:12.853,22:36:11.048,1805
22:36:14.828,22:36:13.047,1781
22:36:16.902,22:36:15.048,1854
22:36:18.695,22:36:17.016,1679
22:36:20.746,22:36:18.992,1754
22:36:22.693,22:36:20.939,1754
22:36:24.568,22:36:23.120,1448
22:36:26.636,22:36:24.941,1695
22:36:30.567,22:36:29.111,1456
22:36:32.544,22:36:31.108,1436
22:36:34.548,22:36:33.079,1469
22:36:36.811,22:36:35.098,1713
22:36:38.539,22:36:37.101,1438
22:36:40.579,22:36:39.107,1472
22:36:42.608,22:36:41.053,1555
22:36:44.741,22:36:43.065,1676
